user id,item id,rating
196,242,0
186,302,0
22,377,0
244,51,0
166,346,0
298,474,1
115,265,0
253,465,1
305,451,0
6,86,0
62,257,0
286,1014,1
200,222,1
210,40,0
224,29,0
303,785,0
122,387,1
194,274,0
291,1042,1
234,1184,0
119,392,1
167,486,1
299,144,1
291,118,0
308,1,1
95,546,0
38,95,1
102,768,0
63,277,1
160,234,1
50,246,0
301,98,1
225,193,1
290,88,1
97,194,0
157,274,1
181,1081,0
278,603,1
276,796,0
7,32,1
10,16,1
284,304,1
201,979,0
276,564,0
287,327,1
246,201,1
242,1137,1
249,241,1
99,4,1
178,332,0
251,100,1
81,432,0
260,322,1
25,181,1
59,196,1
72,679,0
87,384,1
290,143,1
42,423,1
292,515,1
115,20,0
20,288,0
201,219,1
13,526,0
246,919,1
138,26,1
167,232,0
60,427,1
57,304,1
223,274,1
189,512,1
243,15,0
92,1049,0
246,416,0
194,165,1
241,690,0
178,248,1
254,1444,0
293,5,0
127,229,1
225,237,1
299,229,0
225,480,1
276,54,0
291,144,1
222,366,1
267,518,1
42,403,0
11,111,1
95,625,1
8,338,1
162,25,1
87,1016,1
279,154,1
145,275,0
119,1153,1
62,498,1
62,382,0
28,209,1
135,23,1
32,294,0
90,382,1
286,208,1
293,685,0
216,144,1
166,328,1
250,496,1
271,132,1
160,174,1
265,118,1
198,498,0
42,96,1
168,151,1
110,307,1
58,144,1
90,648,1
271,346,1
62,21,0
279,832,0
237,514,1
94,789,1
128,485,0
298,317,1
44,195,1
264,200,1
194,385,0
72,195,1
222,750,1
250,264,0
41,265,0
224,245,0
82,135,0
262,1147,1
293,471,0
216,658,0
250,140,0
59,23,1
286,379,1
244,815,1
7,479,1
174,368,0
87,274,1
194,1211,0
82,1134,0
13,836,0
13,272,1
244,756,0
305,427,1
95,787,0
43,14,0
299,955,1
57,419,0
84,405,0
269,504,1
299,111,0
194,466,1
160,135,1
99,268,0
10,486,1
259,117,1
85,427,0
303,919,1
213,273,1
121,514,0
90,98,1
49,559,0
42,794,0
155,323,0
68,117,1
172,177,1
19,4,1
268,231,1
5,2,0
305,117,0
44,294,1
43,137,1
279,1336,0
80,466,1
254,164,1
298,281,0
279,1240,0
66,298,1
18,443,0
268,1035,0
99,79,1
13,98,1
26,258,0
7,455,1
222,755,1
200,673,1
119,328,1
213,172,1
276,322,0
94,1217,0
130,379,1
38,328,1
160,719,0
293,1267,0
26,930,0
130,216,1
92,1079,0
256,452,1
1,61,1
72,48,1
56,755,0
13,360,1
15,405,0
92,77,0
207,476,0
292,174,1
232,483,1
251,748,0
224,26,0
181,220,1
259,255,1
305,471,1
52,280,0
161,202,1
148,408,1
125,235,0
97,228,1
58,1098,1
83,234,1
90,347,1
272,178,1
194,181,0
125,478,1
110,688,0
299,14,1
151,10,1
269,127,1
6,14,1
54,106,0
303,69,1
16,944,0
301,790,1
276,1091,0
305,214,0
194,1028,0
91,323,0
87,554,1
294,109,1
286,171,1
200,318,1
229,328,0
178,568,1
303,842,0
62,65,1
207,591,0
92,172,1
301,401,1
36,339,1
70,746,0
63,242,0
28,201,0
279,68,1
250,7,1
14,98,0
299,1018,0
194,54,0
303,815,0
119,237,1
295,218,1
268,930,0
268,2,0
66,258,1
233,202,1
83,623,1
214,334,0
192,476,0
100,344,1
268,145,0
301,56,1
307,89,1
234,141,0
83,576,1
181,264,0
297,133,1
38,153,1
7,382,1
264,813,1
181,872,0
201,146,0
85,507,1
269,367,0
59,468,0
286,143,1
193,96,0
113,595,1
292,11,1
130,1014,0
275,98,1
189,520,1
219,82,0
218,209,1
123,427,0
119,222,1
158,177,1
222,118,1
302,322,0
279,501,0
301,79,1
181,3,0
201,695,0
13,198,0
1,189,0
145,237,1
23,385,1
201,767,1
296,705,1
42,546,0
33,872,0
301,554,0
16,64,1
95,135,0
154,357,1
77,484,1
296,508,1
302,303,0
244,673,0
222,77,1
13,215,1
16,705,1
270,452,1
145,15,0
187,64,1
200,304,1
170,749,1
101,829,0
184,218,0
128,204,1
181,1295,0
184,153,0
1,33,1
1,160,1
184,321,1
54,595,0
94,343,1
128,508,1
23,323,0
301,227,0
301,191,0
112,903,0
82,183,0
222,724,0
218,430,0
308,1197,1
303,134,1
133,751,0
215,212,0
69,256,1
254,662,1
276,2,1
104,984,0
63,1067,0
267,410,1
13,56,1
240,879,0
286,237,0
294,271,1
90,1086,1
18,26,1
92,229,0
308,649,1
144,89,0
191,302,1
59,951,0
200,96,1
16,197,1
61,678,0
271,199,1
271,709,0
142,169,1
275,597,0
222,151,0
87,40,0
207,258,1
272,1393,0
177,333,1
207,1115,0
299,577,0
271,378,1
305,425,1
49,959,0
94,1224,0
130,1017,0
10,175,0
203,321,0
191,286,1
43,323,0
21,558,1
197,96,1
13,344,0
194,66,0
234,206,1
308,402,1
308,640,1
269,522,1
94,265,1
268,62,0
272,12,1
121,291,0
296,20,1
134,286,0
180,462,1
234,612,0
104,117,0
38,758,0
269,845,0
7,163,1
234,1451,0
275,405,0
52,250,0
102,823,0
13,186,1
178,731,1
236,71,0
256,781,1
263,176,1
244,186,0
279,1181,1
43,815,1
83,78,0
151,197,1
254,436,0
109,631,0
297,716,0
249,188,1
144,699,1
301,604,1
64,392,0
92,501,0
222,97,1
268,436,0
293,135,1
213,173,1
160,460,0
13,498,1
59,715,1
5,17,1
125,163,1
174,315,1
114,505,0
213,515,1
23,196,0
128,15,1
239,56,1
181,279,0
291,80,1
250,238,1
