user id,item id,target
196,242,1
186,302,1
22,377,0
244,51,0
166,346,0
298,474,1
115,265,0
253,465,1
305,451,1
6,86,1
62,257,0
286,1014,1
200,222,1
210,40,1
224,29,1
303,785,1
122,387,1
194,274,0
291,1042,1
234,1184,0
119,392,1
167,486,1
299,144,1
291,118,0
308,1,1
95,546,0
38,95,1
102,768,0
63,277,1
160,234,1
50,246,1
301,98,1
225,193,1
290,88,1
97,194,1
157,274,1
181,1081,0
278,603,1
276,796,0
7,32,1
10,16,1
284,304,1
201,979,0
276,564,1
287,327,1
246,201,1
242,1137,1
249,241,1
99,4,1
178,332,1
251,100,1
81,432,0
260,322,1
25,181,1
59,196,1
72,679,0
87,384,1
290,143,1
42,423,1
292,515,1
115,20,1
20,288,0
201,219,1
13,526,1
246,919,1
138,26,1
167,232,0
60,427,1
57,304,1
223,274,1
189,512,1
243,15,1
92,1049,0
246,416,1
194,165,1
241,690,0
178,248,1
254,1444,1
293,5,1
127,229,1
225,237,1
299,229,1
225,480,1
276,54,1
291,144,1
222,366,1
267,518,1
42,403,1
11,111,1
95,625,1
8,338,1
162,25,1
87,1016,1
279,154,1
145,275,0
119,1153,1
62,498,1
62,382,1
28,209,1
135,23,1
32,294,1
90,382,1
286,208,1
293,685,1
216,144,1
166,328,1
250,496,1
271,132,1
160,174,1
265,118,1
198,498,1
42,96,1
168,151,1
110,307,1
58,144,1
90,648,1
271,346,1
62,21,1
279,832,1
237,514,1
94,789,1
128,485,1
298,317,1
44,195,1
264,200,1
194,385,0
72,195,1
222,750,1
250,264,1
41,265,1
224,245,1
82,135,1
262,1147,1
293,471,1
216,658,1
250,140,1
59,23,1
286,379,1
244,815,1
7,479,1
174,368,0
87,274,1
194,1211,0
82,1134,0
13,836,0
13,272,1
244,756,0
305,427,1
95,787,0
43,14,0
299,955,1
57,419,1
84,405,1
269,504,1
299,111,1
194,466,1
160,135,1
99,268,1
10,486,1
259,117,1
85,427,1
303,919,1
213,273,1
121,514,1
90,98,1
49,559,0
42,794,1
155,323,0
68,117,1
172,177,1
19,4,1
268,231,1
5,2,1
305,117,0
44,294,1
43,137,1
279,1336,0
80,466,1
254,164,1
298,281,1
279,1240,0
66,298,1
18,443,1
268,1035,0
99,79,1
13,98,1
26,258,1
7,455,1
222,755,1
200,673,1
119,328,1
213,172,1
276,322,1
94,1217,1
130,379,1
38,328,1
160,719,1
293,1267,1
26,930,0
130,216,1
